"",bulk,single-cell
dsrb,0.004759,0.003
dtd,0.003530,0.005
dtpa,0.010618,0.018
dtpb,0.017346,0.030
dtpc,0.000068,0.057
dtpd,0.002602,0.093
dusa,0.000712,0.023
dusb,0.001097,0.012
dusc,0.000436,0.043
dut,0.000814,0.000
dxr,0.001816,0.004
dxs,0.000429,0.014
eama,0.001635,0.108
eamb,0.002704,0.009
ebga,0.000206,0.024
ebgc,0.000208,0.008
ebgr,0.000417,0.013
ecna,0.000767,0.006
ecnb,0.001643,0.008
eco,0.000687,0.002
ecpa,0.000078,0.024
ecpb,0.000038,0.031
ecpc,0.000082,0.100
ecpe,0.000181,0.073
eda,0.002992,0.004
edd,0.000383,0.146
efeb,0.000098,0.004
efeo,0.000120,0.018
efp,0.006679,0.009
elaa,0.000777,0.062
elab,0.123495,0.047
elad,0.000134,0.012
elbb,0.001759,0.029
elfa,0.000103,0.023
elfc,0.000057,0.020
elfd,0.000000,0.035
elfg,0.000258,0.035
elyc,0.000364,0.040
emra,0.000313,0.008
emrb,0.001056,0.006
emrd,0.000674,0.002
emre,0.001848,0.012
emrk,0.000386,0.130
emry,0.000149,0.093
emta,0.002471,0.019
enda,0.000237,0.009
eno,0.091014,0.265
enta,0.000627,0.003
entb,0.000787,0.008
entc,0.000889,0.001
entd,0.000228,0.053
ente,0.000752,0.006
entf,0.002967,0.007
enth,0.000164,0.001
ents,0.000335,0.001
envr,0.000022,0.064
envy,0.000024,0.060
envz,0.004400,0.012
epd,0.005626,0.024
epma,0.000395,0.009
epmb,0.000499,0.033
epmc,0.000152,0.046
epta,0.000263,0.040
eptb,0.000462,0.042
eptc,0.000326,0.050
era,0.016784,0.116
erpa,0.060893,0.034
essd,0.000085,0.014
etk,0.000962,0.080
etp,0.000136,0.044
etta,0.005905,0.066
euta,0.000212,0.038
eutb,0.000346,0.019
eutc,0.000727,0.009
eute,0.000032,0.054
eutg,0.000070,0.063
euth,0.000546,0.055
eutj,0.000081,0.005
eutk,0.001019,0.017
eutl,0.000525,0.003
eutm,0.000223,0.007
eutn,0.000040,0.029
eutp,0.000073,0.016
eutq,0.000051,0.007
eutr,0.000186,0.023
euts,0.000066,0.032
eutt,0.000119,0.003
evga,0.000013,0.015
evgs,0.000077,0.016
exbb,0.011192,0.036
exbd,0.009315,0.017
exox,0.001748,0.020
exur,0.006273,0.018
exut,0.007092,0.024
faba,0.027137,0.023
fabb,0.029162,0.059
fabd,0.008314,0.003
fabf,0.009695,0.036
fabh,0.009465,0.004
fabi,0.014095,0.011
fabr,0.003699,0.006
faby,0.002615,0.023
fabz,0.002418,0.021
fada,0.013820,0.011
fadb,0.012621,0.012
fadd,0.038475,0.151
fade,0.075598,0.081
fadh,0.003365,0.012
fadj,0.004889,0.133
fadk,0.000159,0.042
fadl,0.009887,0.032
fadm,0.000576,0.007
fadr,0.004259,0.019
fau,0.004222,0.002
fbaa,0.041131,0.047
fbab,0.043175,0.222
fbp,0.004915,0.034
fcl,0.000094,0.005
fdhd,0.006091,0.023
fdhe,0.002101,0.011
fdhf,0.001099,0.062
fdng,0.009463,0.045
fdnh,0.000192,0.001
fdni,0.000500,0.020
fdoh,0.011123,0.023
fdoi,0.007583,0.038
fdra,0.000082,0.021
fdx,0.001608,0.005
feab,0.002004,0.004
fear,0.002257,0.145
feca,0.000289,0.037
fecb,0.000127,0.030
fecc,0.000045,0.006
fecd,0.000041,0.000
fece,0.000103,0.025
feci,0.004042,0.005
fecr,0.002266,0.004
feoa,0.003625,0.002
feob,0.003970,0.011
feoc,0.003935,0.002
fepa,0.000597,0.076
fepb,0.001304,0.031
fepc,0.000015,0.046
fepd,0.000336,0.018
fepg,0.000115,0.001
fes,0.003287,0.010
feta,0.000117,0.041
fetb,0.000227,0.013
ffh,0.007146,0.078
ffs,0.019905,0.000
fhua,0.007305,0.043
fhub,0.000227,0.004
fhuc,0.001397,0.001
fhud,0.000242,0.015
fhue,0.000622,0.082
fhuf,0.014414,0.001
fic,0.014480,0.009
fief,0.003620,0.009
fima,0.001364,0.043
fimb,0.000067,0.013
fimc,0.000011,0.039
fime,0.000157,0.009
fimf,0.000101,0.004
fimh,0.000438,0.012
fimi,0.000164,0.032
fimz,0.000058,0.038
fis,0.002394,0.025
fiu,0.000354,0.081
fixa,0.000023,0.013
fixb,0.000009,0.001
fixc,0.000025,0.030
fixx,0.000000,0.012
fklb,0.001425,0.002
fkpa,0.013040,0.084
fkpb,0.001680,0.006
flda,0.005011,0.051
fldb,0.004380,0.005
flga,0.000178,0.024
flgb,0.000000,0.016
flgc,0.000000,0.009
flgd,0.000054,0.002
flge,0.000038,0.011
flgf,0.000027,0.026
flgg,0.000059,0.005
flgh,0.000028,0.022
flgi,0.000032,0.003
flgj,0.000060,0.028
flgk,0.000737,0.013
flgl,0.001467,0.008
flgm,0.002487,0.021
flgn,0.001546,0.028
flha,0.000506,0.039
flhb,0.000095,0.023
flhc,0.002114,0.080
flhd,0.001756,0.006
flhe,0.000037,0.002
flia,0.001053,0.072
flic,0.004927,0.126
flid,0.000299,0.021
flie,0.000113,0.006
flif,0.000026,0.003
flig,0.000033,0.014
flih,0.000074,0.016
flii,0.000010,0.004
flij,0.000043,0.011
flik,0.000021,0.005
flil,0.000009,0.011
flim,0.000066,0.011
flin,0.000061,0.006
flio,0.000102,0.004
flip,0.000007,0.010
fliq,0.000000,0.001
flir,0.000047,0.024
flis,0.000076,0.007
flit,0.000080,0.006
fliz,0.000365,0.080
flk,0.000207,0.004
flu,0.000160,0.006
flxa,0.000302,0.006
fmt,0.037114,0.004
foca,0.034785,0.022
focb,0.000132,0.005
fola,0.002772,0.015
folb,0.000051,0.002
folc,0.001587,0.060
fold,0.001225,0.009
fole,0.002412,0.095
folk,0.000028,0.044
folm,0.000883,0.030
folp,0.000519,0.007
folx,0.010723,0.015
frc,0.000101,0.172
frda,0.004250,0.021
frdb,0.003134,0.020
frdc,0.002812,0.013
frdd,0.005743,0.002
fre,0.010372,0.006
frla,0.000020,0.006
