,T0CASP2_cutadapt_1,T0CASP4_cutadapt_1,T0CASP5_cutadapt_1,T0EXP2_cutadapt_1,T0EXP4_cutadapt_1,T0EXP5_cutadapt_1,T0VapC2_cutadapt_1,T0VapC3_cutadapt_1,T0VapC4_cutadapt_1,T0VapC5_cutadapt_1,T1CASP2_cutadapt_1,T1CASP4_cutadapt_1,T1CASP5_cutadapt_1,T2CASP2_cutadapt_1,T2CASP4_cutadapt_1,T2CASP5_cutadapt_1,T2VapC2_cutadapt_1,T2VapC3_cutadapt_1,T2VapC4_cutadapt_1,T2VapC5_cutadapt_1,T3VapC2_cutadapt_1,T3VapC3_cutadapt_1,T3VapC4_cutadapt_1,T3VapC5_cutadapt_1
ucpA,147,93,87,1201,454,860,589,403,601,651,130,130,86,76,47,62,93,192,367,103,214,237,395,307
udk,23,21,6,370,155,248,164,128,149,136,22,12,12,10,14,9,43,89,125,58,98,128,180,148
udp,14022,8028,7282,18573,8363,12051,9503,7686,9725,10781,14098,8627,8085,9165,8508,7646,65,174,349,150,61,70,109,1473
ugd,76,34,57,187,68,108,76,66,70,49,57,48,36,37,36,67,59,90,199,79,155,185,314,238
ugpA,95,75,39,210,106,105,75,57,76,74,92,98,73,53,73,37,2,2,4,4,3,4,10,20
ugpB,601,303,247,524,211,281,176,174,212,229,454,469,293,356,248,308,2,11,18,8,12,27,28,71
ugpC,93,79,57,265,137,185,85,82,95,103,87,74,57,47,23,54,2,23,45,17,9,13,25,22
ugpE,65,35,30,231,76,108,75,62,46,76,31,42,39,26,28,29,1,4,18,0,2,2,1,1
ugpQ,75,64,58,233,80,150,108,73,85,99,81,73,50,58,32,56,16,38,60,29,19,14,36,43
uhpA,171,74,74,202,84,145,88,80,112,116,111,86,77,71,48,75,56,140,195,89,73,100,139,116
uhpB,60,50,26,265,114,162,102,83,89,136,43,30,23,31,16,33,47,122,217,75,149,198,303,202
uhpC,7,3,1,46,30,50,23,19,28,22,2,4,6,1,1,3,10,30,61,20,46,70,112,55
uhpT,14,8,12,995,368,685,376,271,441,325,20,10,10,7,6,3,659,1678,3516,1229,87,64,114,60
uhpU,15,7,10,1037,385,692,379,275,445,324,17,10,12,6,6,2,670,1771,3585,1238,74,53,84,47
uidA,40,24,22,64,24,52,40,18,22,34,43,44,19,16,22,27,15,30,47,18,19,21,33,29
uidB,12,14,12,42,16,36,24,13,29,17,22,13,17,13,6,18,15,27,49,17,26,21,35,12
uidC,8,6,6,11,9,7,10,5,5,12,1,4,1,6,5,11,11,17,39,12,21,40,46,35
uidR,139,60,75,406,159,221,183,132,150,157,100,97,40,84,60,79,49,86,187,73,87,102,183,160
ulaA,9,5,2,17,7,14,9,6,15,9,1,7,2,5,1,3,4,10,6,5,5,7,16,5
ulaB,1,4,5,18,8,5,6,4,5,11,3,2,1,3,1,1,2,6,2,2,5,1,5,2
ulaC,3,1,0,25,7,8,8,7,7,8,4,5,2,2,3,0,6,7,8,2,8,3,12,5
ulaD,4,8,2,58,27,31,22,13,17,12,19,7,4,10,9,6,23,39,56,23,16,20,36,20
ulaE,12,6,6,51,15,28,19,25,13,14,7,8,8,5,2,6,12,36,56,21,16,21,28,19
ulaF,9,2,4,20,13,21,11,6,13,14,3,6,3,4,5,6,18,34,79,21,18,9,38,12
ulaG,9,7,6,17,5,17,10,12,7,12,13,11,10,7,6,12,10,14,20,5,5,5,8,5
ulaR,43,19,17,106,55,90,57,40,73,53,59,35,21,40,18,39,39,70,152,55,42,44,78,33
umpG,95,63,48,524,224,314,253,179,222,282,80,70,55,65,43,66,44,82,147,47,147,167,279,164
umpH,55,28,28,391,200,305,236,130,186,239,50,46,21,26,36,28,40,84,144,48,74,78,130,94
umuC,26,14,18,21,10,27,12,13,14,10,40,12,19,23,6,12,11,39,50,20,28,25,32,38
umuD,15,5,5,11,1,11,4,4,9,7,6,10,4,9,3,11,11,8,18,5,5,9,19,9
ung,29,21,14,133,41,104,57,42,53,58,32,32,19,20,16,35,14,27,43,17,15,47,38,31
uof,188,109,110,1094,412,760,443,382,498,458,156,135,102,157,99,162,160,281,615,262,236,354,491,451
upp,9,5,17,925,374,697,329,306,398,162,5,19,6,8,8,17,403,890,1539,672,485,619,936,667
uraA,9,5,9,633,242,437,171,193,238,77,15,14,10,13,10,10,79,167,295,132,88,100,167,99
usg,63,47,23,325,113,225,146,109,151,174,65,59,28,40,28,39,63,172,279,91,211,264,422,302
ushA,88,31,33,331,151,200,130,94,130,162,62,75,34,50,23,43,39,57,131,49,78,92,105,93
uspA,642,297,379,2703,1119,1707,1233,827,1065,1064,551,334,332,478,363,500,313,747,1397,529,399,492,722,629
uspB,638,311,355,60,24,36,23,19,16,20,441,408,362,403,301,364,8,16,33,19,10,19,14,27
uspC,6,2,3,21,23,17,18,6,8,10,13,9,0,4,1,12,7,5,22,7,11,14,18,20
uspD,237,153,112,65,30,43,33,31,23,36,221,202,116,176,135,152,37,83,134,55,41,59,69,64
uspE,1404,821,880,1095,513,809,543,432,517,555,1073,849,692,751,599,784,109,271,523,165,491,585,976,745
uspF,1039,567,481,1180,477,927,621,540,606,625,1001,736,586,883,636,732,108,269,513,201,172,186,275,969
uspG,183,91,102,225,78,185,70,71,92,100,168,99,97,128,93,111,133,291,568,281,224,355,447,385
uup,125,68,55,880,352,589,324,303,351,389,113,110,79,75,47,79,91,247,445,170,595,602,1052,648
uvrA,1885,998,896,1549,582,949,518,420,528,497,1158,965,768,932,775,849,211,487,896,323,427,492,861,460
uvrB,1189,697,635,591,234,307,223,174,211,209,982,878,628,666,624,663,113,281,474,138,414,515,815,514
uvrC,68,41,49,885,366,561,327,239,349,383,100,115,37,56,36,38,82,210,374,159,189,295,370,357
uvrD,164,106,82,923,335,636,385,321,335,347,189,164,116,137,117,115,155,299,611,206,309,322,555,452
uvrY,69,51,40,366,171,263,176,132,173,186,78,97,31,65,29,37,88,228,388,167,139,204,293,286
uxaA,35,20,25,249,117,195,132,115,139,153,30,26,28,17,24,21,290,576,933,331,88,108,185,84
uxaB,68,40,26,102,31,61,46,29,33,45,59,46,41,40,30,46,35,64,140,39,55,104,149,105
uxaC,46,14,13,348,110,191,181,127,156,178,54,21,17,32,24,31,15,42,82,29,58,54,114,75
uxuA,48,33,21,490,216,305,308,275,260,370,57,43,34,36,34,31,13,36,60,14,66,83,132,214
uxuB,57,35,22,512,216,312,380,243,272,368,49,40,20,35,24,29,29,49,64,28,54,63,131,114
uxuR,185,98,91,466,161,282,151,133,165,165,163,107,108,144,84,113,100,238,420,156,167,217,309,249
valS,755,498,361,3668,1393,2229,1540,1122,1436,1464,557,497,378,409,417,394,425,1071,1769,632,1247,1380,2338,1199
valT,285147,160531,208654,179675,87264,208245,130935,82753,101000,113185,244869,228381,177334,189533,165918,229359,79655,140512,284347,167749,245810,285334,356633,485740
valU,332975,197994,243624,194972,95258,221911,159776,93503,108229,132912,285602,390281,214467,226820,226736,283605,69110,127250,257850,159111,236002,287844,359057,481533
valV,58943,33871,41338,71160,30898,73284,30785,27880,35540,42145,47864,47009,34428,40185,32407,46344,26731,44048,89469,54697,70905,99026,116529,142853
valW,161087,79135,100474,142926,69713,105818,52842,40231,65284,181402,122350,94865,72707,94714,74618,105602,40469,79531,134944,65845,102006,131075,180269,186019
valX,289451,163101,213491,200696,94092,219573,140646,95793,109935,125333,247510,236080,180833,192231,170551,233818,77212,140988,274362,167725,253222,294796,364501,483741
valY,289016,163329,213484,197099,92681,217312,139878,93705,108460,122830,247066,235100,180823,192418,170096,233564,75920,137727,269078,164805,250394,291680,359440,479172
valZ,284942,159181,207951,187370,87960,206758,127483,85883,101893,116443,244131,225590,177059,188740,164878,228255,73315,134038,261055,158578,244735,282666,352164,467427
ves,8,6,1,630,257,407,293,233,241,228,4,1,2,3,3,0,558,1369,2268,858,107,123,216,91
viaA,66,44,32,243,112,137,88,75,84,83,48,47,34,46,29,33,28,54,123,38,43,51,93,35
vsr,16,12,4,141,78,125,63,41,76,69,16,17,16,8,5,5,11,40,59,25,52,75,104,54
waaA,91,50,33,668,259,381,266,217,264,247,78,58,52,65,63,54,69,151,198,93,94,119,197,147
waaB,30,13,25,208,83,134,95,61,89,82,37,17,15,19,9,27,41,100,188,88,48,83,124,98
waaC,47,28,26,418,158,278,174,145,143,152,34,29,32,32,23,25,10,28,48,21,23,23,39,30
waaF,366,155,147,1038,397,710,430,351,432,395,321,271,202,249,182,203,63,146,252,108,141,170,271,179
waaG,84,42,31,297,109,238,146,104,164,171,62,66,44,42,42,50,100,213,370,149,107,161,249,219
waaH,11,4,0,25,11,13,10,3,13,10,4,4,6,11,10,8,20,58,95,31,117,108,215,149
waaJ,37,23,19,207,68,142,103,67,93,88,41,35,15,29,13,19,53,111,202,93,52,80,109,116
waaL,17,9,12,282,109,203,163,129,168,135,12,16,9,16,14,11,5,22,28,14,15,18,19,21
waaO,33,23,18,222,90,137,92,57,74,90,33,31,18,18,14,31,56,86,162,93,66,58,85,91
waaP,58,26,34,222,90,164,123,88,98,133,43,34,17,21,30,25,58,121,257,108,111,118,151,164
waaQ,101,55,52,328,117,200,142,124,146,155,70,76,52,54,48,57,113,196,400,165,113,144,268,228
waaS,33,23,16,144,56,119,46,45,63,77,33,26,9,15,12,30,32,54,129,58,33,47,92,78
waaU,36,26,17,229,74,176,90,74,103,86,35,35,23,29,25,23,55,103,218,91,63,75,114,140
waaY,34,37,31,290,141,227,107,109,140,126,34,24,24,38,26,39,57,135,251,118,73,107,141,163
waaZ,19,3,16,104,48,71,41,30,50,62,23,30,17,18,7,22,33,57,143,31,31,45,70,53
wbbH,67,48,48,655,267,497,310,215,326,265,56,56,29,36,35,46,100,290,472,196,143,206,271,386
wbbI,62,37,34,465,223,395,242,151,260,246,53,48,26,40,25,31,80,177,320,145,114,149,171,279
wbbJ,53,23,26,432,208,392,233,187,235,215,49,27,24,31,21,18,76,164,251,148,123,133,195,291
wbbK,50,46,44,743,303,617,345,274,414,337,57,49,37,52,36,29,133,236,468,217,183,222,386,507
wcaA,1,1,4,1,1,3,1,1,2,0,5,2,0,0,1,0,1,4,3,2,8,6,5,2
wcaB,1,1,0,5,0,1,1,1,0,2,0,3,0,2,0,0,1,2,3,1,1,2,2,1
wcaC,1,0,0,14,3,6,4,3,2,3,1,7,0,7,1,0,2,11,20,8,1,2,11,6
wcaD,3,2,1,15,1,3,3,8,8,5,1,3,5,3,1,4,9,5,21,7,12,11,15,15
wcaE,0,0,0,6,0,2,4,3,3,1,3,0,0,0,0,0,1,3,3,6,6,1,17,8
wcaF,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,3,2,3,6,9,8,2
wcaI,6,2,3,16,5,10,10,0,6,5,5,3,0,2,5,0,10,18,41,11,7,7,17,10
wcaJ,0,2,1,2,0,6,2,1,3,4,0,0,2,0,1,0,2,5,6,1,4,1,10,4
wcaK,6,2,3,13,1,9,6,2,5,3,3,1,2,1,5,5,4,3,10,1,7,3,17,8
wcaL,8,1,3,21,17,17,12,6,13,19,3,5,5,6,1,3,12,24,35,9,15,12,26,22
wcaM,6,8,5,30,6,18,10,10,11,13,5,6,2,4,1,4,8,20,27,14,15,28,35,37
wecB,51,25,33,765,284,431,334,252,309,313,45,39,22,28,17,24,11,20,40,16,95,98,156,89
wecC,39,11,9,489,214,332,273,180,242,231,16,16,10,16,16,7,7,30,50,17,61,52,103,50
wecE,54,34,36,251,112,163,131,93,120,108,61,43,22,31,27,33,19,48,95,25,34,44,83,58
wecF,68,27,34,231,83,145,90,63,77,94,53,40,38,31,27,23,27,46,110,29,40,47,92,63
wecH,17,7,8,22,18,29,22,8,17,16,14,12,23,12,8,11,15,27,51,12,11,15,25,17
wrbA,930,494,468,172,66,121,67,58,64,57,678,711,382,585,447,514,8,11,24,13,11,14,38,52
wza,1,2,1,2,0,1,0,2,4,1,0,0,0,0,0,0,2,7,9,0,2,1,6,3
wzb,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0
wzc,0,2,3,13,6,3,1,4,2,2,0,3,0,2,3,1,6,3,24,5,5,7,17,2
wzxC,4,2,0,7,3,5,2,0,2,0,5,1,0,1,0,1,0,4,10,0,5,5,16,8
wzxE,43,13,12,190,62,107,82,65,82,68,29,22,31,28,17,22,9,56,68,16,25,46,73,40
wzyE,56,33,22,160,75,110,76,72,72,80,35,32,26,22,17,21,14,21,52,26,21,24,33,32
wzzB,321,162,169,2623,1004,1830,1101,844,1211,1094,283,282,230,214,166,220,497,1118,2122,937,804,1103,1564,1706
wzzE,110,69,55,651,250,501,315,268,303,310,91,64,66,71,50,75,41,111,183,79,152,192,338,140
xanP,9,5,2,1437,551,865,712,479,680,658,49,48,25,36,57,25,529,1312,2418,727,1163,1540,2283,79
xanQ,3,1,4,9,7,10,3,2,3,7,2,3,5,5,3,2,4,6,24,7,12,9,16,13
xapA,1,0,2,7,5,4,2,5,6,3,2,0,1,1,0,0,3,5,9,2,13,11,17,12
xapB,11,9,13,33,17,24,19,10,10,17,11,13,13,13,6,17,6,23,40,19,12,23,48,45
xapR,28,13,17,40,20,23,10,24,14,23,29,14,7,9,13,14,28,47,98,34,63,59,126,76
xdhA,42,19,21,90,28,52,42,31,40,43,30,37,18,26,16,15,14,23,38,7,44,45,83,60
xdhB,10,3,4,37,21,26,14,11,8,24,7,6,5,5,10,2,4,0,10,2,3,18,16,7
xdhC,6,0,4,21,6,11,5,9,5,7,3,4,5,7,3,6,0,1,1,0,1,6,6,2
xdhD,62,32,22,77,36,40,31,17,34,31,46,38,22,28,23,38,49,119,181,60,74,68,122,88
xerC,30,14,8,595,244,359,229,168,245,255,14,12,6,10,9,5,8,29,26,13,35,53,68,49
xerD,44,39,31,247,85,148,97,66,68,100,39,48,32,44,23,36,85,156,270,134,138,180,221,181
xisE,0,3,1,18,5,3,1,0,2,3,6,7,3,2,2,5,6,2,10,4,3,4,5,7
xisR,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,7,3,11,5
xseA,217,131,105,1784,713,987,694,566,690,604,181,134,106,93,84,111,116,188,401,149,274,337,563,748
xseB,37,21,31,690,202,376,207,201,266,247,41,46,24,37,26,27,45,144,245,87,75,88,155,142
xthA,94,62,50,418,158,278,190,132,167,185,96,76,62,75,52,73,41,117,210,89,117,136,214,146
xylA,271,184,133,85,35,67,46,39,32,41,252,296,145,211,158,196,16,31,49,24,58,91,125,87
xylB,101,58,55,54,34,28,25,13,23,30,87,68,62,63,48,48,10,32,52,14,40,65,87,60
xylE,54,34,35,67,21,37,21,19,36,32,39,30,40,34,42,38,18,31,76,29,37,45,68,83
xylF,8,9,5,59,31,45,62,27,26,62,14,5,1,9,1,3,1,6,8,3,3,8,14,6
xylG,6,5,4,80,23,35,43,28,48,32,5,14,2,6,3,12,11,27,39,18,17,23,30,30
xylH,25,13,9,57,30,39,33,29,25,40,16,14,10,14,8,11,6,19,47,18,21,27,39,27
xylR,15,5,21,71,32,55,44,37,32,31,20,16,7,7,12,6,14,24,54,18,15,33,40,22
xylZ,177,118,89,42,31,55,25,23,21,51,172,195,93,136,103,138,7,13,13,9,10,26,36,39
xynR,125,95,89,100,50,72,42,41,41,55,137,140,115,94,72,95,57,197,358,122,166,207,325,194
yaaA,9,9,7,112,55,79,48,40,57,46,9,12,5,15,14,6,17,28,46,20,29,18,42,37
yaaI,1,1,0,3,2,1,0,0,1,1,0,0,0,2,0,0,1,2,6,2,6,4,6,2
yaaJ,22,12,16,46,14,31,28,18,15,18,19,24,14,21,13,18,13,23,34,19,23,32,81,53
yaaU,0,1,2,21,9,6,9,5,6,7,1,1,0,0,1,3,8,20,32,16,13,11,16,14
yaaW,18,10,8,10,6,8,6,3,4,8,13,11,10,14,6,12,8,9,24,6,9,13,21,8
yaaX,13,2,5,64,27,47,24,25,19,20,8,5,9,7,3,7,33,32,90,29,37,37,91,29
yaaY,28,19,14,26,16,22,18,11,18,14,18,18,21,17,12,11,13,18,39,10,20,23,38,14
yabI,96,46,36,171,61,99,88,49,69,78,68,61,46,49,43,32,38,113,109,54,51,57,98,72
yabP,38,25,17,56,24,56,30,28,15,21,22,35,23,33,23,32,34,80,140,42,47,64,117,107
yabQ,38,22,16,43,24,21,36,29,22,23,25,31,18,26,16,28,29,89,114,74,37,35,60,86
yabR,0,0,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
yacC,60,45,33,506,231,287,209,188,233,233,59,65,36,56,31,53,35,93,201,69,49,72,97,95
yacG,27,18,14,84,30,48,30,37,35,51,31,20,18,20,21,26,7,21,36,15,12,13,27,19
yacH,36,12,18,21,6,15,13,7,8,7,32,36,25,11,26,15,10,6,23,5,4,9,15,10
yacL,186,99,146,120,64,113,47,53,77,85,129,167,99,114,78,121,26,73,108,55,80,54,74,75
yacM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
yadC,17,11,15,22,10,20,14,5,9,8,12,12,12,9,9,8,37,92,177,74,114,160,227,171
yadE,35,27,28,157,58,89,64,38,58,70,29,50,27,34,20,24,70,79,155,55,106,132,178,153
yadG,57,36,31,157,52,122,78,56,65,89,69,43,38,43,41,40,45,85,176,61,98,99,184,157
yadH,57,42,31,152,53,113,57,44,38,62,58,32,28,21,28,26,28,66,118,62,69,88,135,104
yadI,41,22,18,51,23,49,40,16,24,39,30,36,22,30,18,38,9,18,25,8,13,15,24,30
yadK,1,1,0,13,4,8,2,1,1,8,2,5,2,3,1,3,12,18,56,15,32,46,69,67
yadL,4,2,1,11,7,7,5,1,3,1,2,3,4,3,0,0,13,26,44,16,30,49,57,47
yadM,1,1,1,3,5,10,3,3,1,5,1,1,2,3,1,1,13,17,42,14,23,44,60,64
yadN,2,0,5,0,1,1,0,0,0,0,1,1,0,1,1,1,0,5,6,2,11,20,28,12
yadS,13,4,2,114,35,76,38,45,33,54,10,6,6,9,4,7,24,33,95,22,22,42,65,39
yadV,3,0,1,1,2,1,2,1,0,0,1,0,1,0,0,2,1,2,6,1,20,32,55,17
yadW,35,21,18,65,25,40,35,23,21,35,24,44,15,27,8,20,22,30,55,19,25,36,42,36
yadX,96,55,49,26,15,22,9,9,6,17,77,154,65,49,52,59,8,19,29,13,12,20,16,27
yaeF,3,2,0,72,25,55,33,23,32,25,3,2,3,12,3,0,6,13,29,11,10,12,34,17
yaeH,201,172,130,345,114,262,148,116,128,182,187,287,167,182,137,159,32,66,114,56,35,44,59,72
yaeI,11,1,9,115,37,54,42,29,25,42,13,9,13,12,11,8,9,11,36,10,19,20,43,25
yaeP,90,56,61,92,39,70,47,39,27,34,86,95,68,73,55,58,20,69,115,37,37,57,63,60
yaeQ,57,19,20,143,49,101,68,45,40,31,34,33,27,23,18,20,28,60,113,44,51,57,91,69
yaeR,54,35,38,88,34,67,36,27,35,33,59,40,26,29,18,24,11,24,57,23,30,49,65,55
yafC,38,31,25,78,26,52,24,22,29,21,46,30,23,25,36,28,8,23,53,17,30,42,60,34
yafD,870,522,531,387,157,182,133,83,131,128,807,677,516,646,526,572,49,107,218,76,105,130,222,132
yafE,170,90,72,175,60,78,64,53,48,51,152,134,109,107,91,71,56,138,261,61,64,63,109,56
yafJ,73,16,15,286,136,178,121,99,135,158,64,65,40,35,45,21,24,78,111,41,61,71,109,86
yafL,14,8,10,14,8,15,6,6,7,6,16,15,4,16,7,10,6,3,16,5,17,25,32,15
yafN,21,16,18,19,16,28,12,10,10,12,28,15,28,34,16,15,16,23,45,13,54,54,85,85
yafO,13,7,12,18,9,18,14,6,8,17,11,9,9,12,13,11,7,10,17,15,35,35,55,60
yafP,4,2,1,12,8,4,4,4,2,4,10,4,1,3,3,3,2,8,12,13,21,37,49,38
yafQ,209,124,132,313,137,197,120,87,123,114,157,146,100,149,101,149,214,398,953,385,207,278,472,490
yafS,13,8,7,142,50,89,58,43,60,60,12,9,6,5,8,4,23,48,86,43,21,38,72,34
yafT,3,2,0,13,8,12,4,12,9,7,1,0,0,2,1,0,33,41,63,34,95,136,184,143
yafV,113,64,55,129,47,86,47,37,45,61,108,102,50,88,66,93,20,47,93,25,19,32,46,41
yafW,2,0,0,1,0,5,3,0,1,1,2,0,0,2,0,0,2,6,14,0,1,2,3,1
yafX,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0
yafY,1,0,3,74,20,30,33,22,28,24,0,3,3,3,3,2,96,178,355,152,16,19,46,36
yafZ,2,1,7,8,2,7,1,2,1,1,1,1,1,3,3,0,0,2,9,3,11,9,20,19
yagA,17,3,5,2,4,6,3,3,0,4,14,2,5,9,7,12,4,12,13,1,1,10,12,6
yagB,30,10,19,73,22,49,30,19,18,20,20,14,17,14,12,19,12,35,64,21,23,23,42,34
yagE,20,14,13,88,48,75,66,41,56,65,14,16,7,13,9,9,0,6,5,0,2,2,6,18
yagF,88,40,45,274,118,194,210,149,170,186,58,43,26,63,31,45,30,55,103,57,23,27,38,29
yagG,19,11,9,28,15,29,22,15,13,32,15,9,6,4,14,6,5,12,22,8,13,9,13,12
yagH,21,5,11,50,11,43,20,18,23,23,19,14,8,14,5,14,2,8,22,5,6,12,16,10
yagJ,30,16,18,66,28,55,20,27,29,43,20,18,12,31,11,27,34,43,105,77,41,72,107,82
yagK,28,23,11,28,7,29,12,10,21,15,18,19,7,22,15,26,24,63,97,43,61,81,114,76
yagL,3,2,0,16,6,5,8,3,3,3,5,4,2,1,2,0,12,20,37,8,48,41,71,32
yagM,0,0,0,8,3,6,3,0,4,3,1,0,0,0,0,0,0,2,3,0,4,15,23,10
yagN,35,20,37,370,179,226,216,147,200,230,46,27,32,24,16,45,46,89,170,76,68,116,146,109
yagP,7,7,6,6,6,10,7,5,3,6,7,13,10,5,6,5,3,4,11,5,5,4,13,8
yagU,38,21,25,37,16,27,15,10,18,20,30,41,32,21,8,25,37,69,113,53,33,36,68,80
yahB,14,12,7,75,27,62,42,42,33,47,9,29,26,10,11,18,15,32,42,14,14,26,33,25
yahC,0,0,0,6,0,1,0,0,0,0,1,1,2,0,1,1,0,3,6,0,1,0,2,3
yahD,2,2,2,7,5,5,2,1,2,4,3,1,1,1,2,0,4,6,9,2,31,40,76,24
yahE,1,2,0,4,2,1,0,4,4,1,2,1,1,4,2,1,7,11,23,8,44,51,117,32
yahF,1,1,3,13,8,5,4,1,0,2,8,2,1,8,7,1,12,36,71,16,139,157,312,104
yahG,3,2,2,5,3,7,4,4,4,7,4,1,1,1,0,4,8,28,34,21,89,98,188,72
yahH,0,0,0,1,0,1,2,0,0,2,0,0,0,1,0,1,5,7,8,1,16,11,21,5
yahI,0,0,1,3,5,2,1,3,4,2,1,0,1,2,1,2,6,12,18,4,37,38,105,23
yahJ,34,17,30,98,35,56,38,33,38,36,24,31,19,31,28,29,18,33,48,22,77,63,135,50
yahK,1308,587,604,364,185,256,136,120,126,138,1111,817,629,916,665,663,19,49,82,40,32,41,77,43
yahL,6,6,4,10,1,6,6,1,2,1,5,11,3,5,4,5,5,12,14,10,10,15,30,24
yahM,34,12,14,56,30,57,30,23,39,49,37,26,28,23,21,35,129,279,461,243,216,246,364,296
yahN,33,13,16,13,4,10,10,9,5,15,19,12,9,17,19,15,9,20,28,12,12,5,9,16
yahO,985,483,574,190,71,112,83,64,79,84,801,755,438,572,370,585,7,16,25,10,28,47,74,64
yahV,0,0,0,0,2,1,1,1,0,1,2,0,0,0,0,1,2,4,0,0,1,6,8,7
yaiA,543,300,328,291,106,209,98,110,96,103,371,459,267,280,253,331,67,94,220,72,107,136,190,103
yaiI,13,6,7,91,26,42,33,22,27,33,19,15,11,9,5,11,14,27,44,26,23,22,32,29
yaiL,43,24,34,189,73,144,77,54,76,77,48,24,23,23,19,29,42,63,152,33,29,30,73,46
yaiO,71,36,53,29,15,31,12,11,13,24,50,34,34,57,44,48,19,32,62,27,39,46,66,43
yaiP,9,4,5,9,1,4,2,0,2,3,5,6,5,7,7,6,2,12,16,4,12,11,22,11
yaiS,2,0,0,1,0,0,1,3,1,0,2,0,2,0,0,0,4,9,6,0,3,6,8,5
yaiW,46,37,26,215,68,137,117,80,90,90,50,42,39,46,33,47,30,55,96,41,31,66,84,73
yaiY,7,3,3,8,0,1,1,1,2,2,9,6,3,4,2,6,0,2,6,3,0,1,5,3
yaiZ,16,17,14,112,51,68,77,45,54,60,20,15,7,15,11,17,0,8,22,12,3,7,4,23
yajC,126,59,63,1340,507,937,630,471,594,630,115,92,65,94,43,92,90,244,361,130,254,333,544,378
yajD,60,32,35,175,79,116,76,65,74,83,50,64,37,47,37,39,24,61,114,47,109,122,232,87
yajG,8,7,15,661,239,412,235,222,313,227,16,20,4,5,18,17,56,91,204,121,101,140,169,154
yajI,18,10,11,18,4,14,8,7,5,13,9,12,4,12,10,12,0,4,20,5,9,7,8,15
yajL,94,65,36,119,48,73,59,37,46,58,72,61,40,37,41,44,25,63,119,47,63,62,116,83
yajO,1006,658,573,618,254,442,268,209,286,280,783,667,529,589,437,565,11,27,60,21,69,54,100,95
yajQ,172,123,116,398,125,248,163,111,140,145,182,161,123,140,99,138,87,181,322,117,99,157,165,219
yajR,9,4,6,244,89,205,113,70,76,97,7,11,3,2,5,7,23,71,126,51,66,78,110,84
ybaA,333,236,207,73,27,57,39,20,37,15,295,233,168,233,176,201,11,63,119,18,69,102,120,71
ybaB,206,102,115,671,274,483,321,259,289,356,199,123,85,114,103,93,48,93,174,54,136,150,284,133
ybaE,129,71,53,88,62,59,32,29,52,50,108,95,62,56,56,64,11,14,24,6,8,19,18,26
ybaK,18,10,14,45,25,27,27,18,21,16,11,6,4,7,6,12,10,23,58,17,27,30,65,51
ybaL,150,87,89,491,177,270,176,161,179,171,114,147,67,82,76,97,107,269,416,180,176,200,304,243
ybaM,11,5,4,15,10,20,10,11,8,7,10,5,4,9,3,8,16,34,50,14,20,26,52,29
ybaN,54,42,32,227,94,152,77,62,88,91,39,49,40,33,37,35,6,15,11,6,10,14,29,36
ybaP,25,14,16,98,38,52,36,25,27,30,21,26,25,20,11,27,22,40,55,31,28,42,48,60
ybaQ,133,82,76,227,73,154,58,50,71,78,142,106,73,104,100,109,27,80,142,52,37,66,103,70
ybaT,14,7,7,35,19,18,15,3,9,9,14,10,6,5,8,10,7,17,33,12,18,14,21,19
ybaV,16,8,10,70,26,35,26,14,22,28,7,11,11,14,8,12,15,37,57,24,63,71,94,70
ybaY,1341,683,661,288,119,150,81,57,107,64,1123,894,696,899,684,818,27,51,78,34,22,37,52,121
ybaZ,95,52,47,156,60,73,45,36,56,63,66,74,61,71,42,55,11,30,66,15,30,36,48,47
ybbA,20,7,18,86,27,64,22,15,26,36,22,13,12,11,9,16,9,39,66,24,20,23,46,32
ybbC,0,1,0,5,3,3,0,4,3,5,2,0,1,0,0,4,6,33,41,19,26,47,59,49
ybbJ,39,30,26,39,20,26,17,13,12,16,32,27,19,34,23,25,17,45,75,35,20,35,51,44
ybbO,37,22,24,171,97,126,74,53,76,71,38,29,20,22,27,27,26,30,72,25,50,58,93,67
ybbP,29,17,13,199,70,140,65,49,54,68,12,21,7,11,9,19,16,58,104,32,36,52,89,59
ybbW,4,2,2,5,1,6,2,4,1,2,6,9,2,5,0,4,2,4,7,6,4,12,10,12
ybbY,9,9,6,12,1,9,5,4,6,6,13,20,4,22,10,12,0,7,10,3,7,7,15,12
ybcF,2,0,2,3,0,2,1,1,1,1,2,1,0,1,0,2,1,5,5,3,10,8,15,9
ybcH,12,9,13,41,21,32,15,13,28,18,15,25,19,13,9,15,18,18,26,7,36,42,92,38
ybcI,4,0,2,31,10,17,22,11,12,17,8,5,3,1,3,2,2,4,4,2,19,23,18,11
ybcJ,83,65,50,347,136,304,157,171,188,177,84,73,50,77,48,66,53,125,227,121,114,135,213,117
