,EXP_biorep1a,EXP_biorep1b,EXP_biorep1c,EXP_biorep2,EXP_biorep3,CASP_biorep1a,CASP_biorep1b,CASP_biorep1c,CASP_biorep2,CASP_biorep3,Disrupted_biorep1a,Disrupted_biorep1b,Disrupted_biorep1c,Disrupted_biorep2,Disrupted_biorep3
yieF,414,367,197,729,226,73,19,56,78,23,307,379,368,293,238
yieH,151,161,82,176,113,20,4,9,17,11,40,52,39,43,22
yieK,16,19,7,6,12,10,5,8,3,4,31,38,38,38,24
yieL,20,2,6,15,21,7,0,1,2,1,72,66,66,36,35
yieP,233,260,125,632,157,70,20,26,49,15,127,131,127,202,165
yifB,23,31,24,38,15,9,2,7,6,1,43,38,32,20,32
yifK,515,688,243,411,469,320,92,132,188,85,195,241,243,327,216
yifL,276,325,168,302,244,39,7,19,49,17,80,65,60,89,54
yigB,129,124,73,152,106,4,6,4,7,2,58,34,61,46,29
yigE,14,8,5,20,8,2,1,3,0,0,13,7,14,14,6
yigF,9,9,1,10,3,6,1,0,2,1,7,12,2,14,11
yigG,1,1,0,0,0,0,0,1,0,0,0,6,3,0,6
yigI,168,141,67,244,115,345,84,182,198,107,251,273,241,345,199
yigL,368,387,201,599,244,55,14,35,56,36,137,126,137,111,118
yigZ,452,563,230,809,408,114,46,68,69,36,97,82,135,82,77
yihA,430,504,259,448,367,323,122,225,320,156,101,104,165,234,138
yihD,52,63,22,72,51,32,8,23,50,11,24,28,26,28,15
yihF,42,33,19,30,16,13,9,15,9,5,68,80,62,58,36
yihG,97,78,81,35,53,2,2,4,5,0,25,13,28,25,19
yihI,461,527,224,732,400,709,187,476,565,263,283,265,256,541,305
yihL,70,64,38,68,63,26,12,16,30,5,3,10,22,20,19
yihM,132,91,87,87,127,43,10,35,51,16,43,38,37,23,28
yihN,59,35,30,57,31,18,2,4,1,2,31,38,55,49,18
yihO,14,20,13,26,8,115,42,83,134,72,71,65,78,237,89
yihP,12,18,9,24,11,16,2,4,11,0,13,8,11,13,8
yihQ,18,50,15,34,12,30,2,10,6,5,35,54,48,58,45
yihR,1,0,10,12,5,5,3,1,3,2,5,7,8,11,5
yihS,23,29,25,53,24,18,5,10,22,2,24,8,21,31,14
yihT,16,28,2,38,19,1,1,4,5,1,9,13,9,4,5
yihU,18,8,7,4,6,1,1,5,2,1,5,8,7,2,1
yihV,44,29,10,32,25,47,13,37,38,6,59,59,30,38,36
yihX,542,589,294,1054,386,160,30,85,69,56,678,665,718,910,701
yihY,396,389,246,806,306,365,79,196,226,110,302,308,308,484,276
yiiE,0,0,1,0,0,1,0,3,4,2,2,0,3,6,3
yiiF,18,12,5,20,6,11,2,1,2,1,22,21,29,25,23
yiiG,8,30,9,25,13,3,2,3,4,2,15,22,31,14,9
yiiM,224,305,107,558,175,234,77,126,153,76,367,267,293,614,344
yiiQ,94,91,37,127,98,22,6,10,7,13,25,14,11,23,20
yiiR,110,104,40,100,71,416,153,332,407,140,69,68,71,110,63
yiiS,25,46,28,85,21,225,79,151,168,97,142,153,174,188,88
yiiX,133,144,81,109,99,36,13,30,29,8,133,141,172,165,97
yijD,1059,1217,647,883,682,378,101,295,442,192,237,288,362,280,182
yijE,152,195,121,173,111,24,8,21,51,15,89,87,111,31,28
yijF,4,8,4,2,3,1,0,3,2,0,7,4,9,2,2
yijO,112,101,55,102,68,15,3,11,7,5,36,43,54,36,38
yjaA,25,23,11,9,30,12,0,0,4,2,10,19,25,14,12
yjaB,50,30,11,51,29,81,30,35,61,28,102,112,104,228,119
yjaG,442,426,273,510,387,104,35,41,103,38,235,232,275,193,240
yjaH,497,467,341,414,416,17,4,3,8,4,94,64,72,76,69
yjaZ,20,14,17,11,14,4,0,0,2,4,28,29,17,12,6
yjbB,281,349,198,782,250,296,85,173,237,71,601,534,653,1046,686
yjbD,138,154,83,192,100,90,28,49,84,47,21,40,40,69,33
yjbE,19,39,4,15,24,2,1,0,0,1,7,3,2,4,4
yjbF,9,2,2,7,3,0,0,0,0,0,11,8,14,3,0
yjbG,9,2,9,5,3,0,0,0,2,1,7,4,8,5,6
yjbH,123,124,66,136,61,48,18,37,42,12,154,167,204,107,117
yjbJ,243,253,151,768,143,4796,1603,2531,3712,1840,585,654,745,2000,634
yjbL,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0
yjbM,2,1,0,0,0,3,0,0,4,0,11,11,7,22,3
yjbQ,400,371,230,447,221,334,105,207,325,130,302,329,391,621,391
yjbR,186,149,85,243,125,228,55,152,166,83,255,254,261,409,277
yjbS,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
yjbT,14,0,3,0,3,19,6,7,10,5,63,42,71,111,79
yjcB,26,28,24,39,13,67,23,30,69,30,295,341,290,387,256
yjcE,513,524,282,774,399,190,50,107,151,42,642,507,578,648,490
yjcH,1323,2033,975,4045,1418,61,13,46,71,43,29,26,34,100,55
yjcO,194,216,115,193,159,87,22,22,52,26,56,34,67,59,45
yjcS,10,17,6,4,5,8,5,3,3,0,54,58,67,13,18
yjdC,430,402,218,1156,258,1012,316,624,731,310,1275,1255,1292,2924,1605
yjdF,37,77,32,83,30,37,9,5,31,5,38,28,28,41,32
yjdI,38,49,29,220,25,146,46,67,47,37,112,123,123,321,175
yjdJ,43,56,18,246,18,135,33,54,61,19,136,210,144,480,182
yjdM,131,107,65,103,112,358,100,176,179,140,266,324,351,732,347
