GO_ID,Term,Category,p-value,FDR,Fold Enrichment,Ratio in Study,Ratio in Population
GO:0006431,methionyl-tRNA aminoacylation,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0032955,regulation of division septum assembly,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0009152,purine ribonucleotide biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0006421,asparaginyl-tRNA aminoacylation,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0051983,regulation of chromosome segregation,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0010974,negative regulation of division septum assembly,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0033195,response to alkyl hydroperoxide,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0015824,proline transport,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0051304,chromosome separation,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0042558,pteridine-containing compound metabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0006228,UTP biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0009224,CMP biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:1903801,L-leucine import across plasma membrane,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0006225,UDP biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0140647,P450-containing electron transport chain,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0002188,translation reinitiation,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0035524,proline transmembrane transport,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0046100,hypoxanthine metabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
